sub_id,session,run,trial,value
MET000,1,1,1,0.73681330030255054
MET000,1,1,2,0.65642931646537195
MET000,1,1,3,0.76352961340103565
MET000,1,1,4,0.94537405733683444
MET000,1,2,1,0.67339906238534475
MET000,1,2,2,0.83547142951633646
MET000,1,2,3,0.7308141399739343
MET000,1,2,4,0.60786074702455495
MET000,1,3,1,0.66257773890819915
MET000,1,3,2,0.78388683044632157
MET000,1,3,3,0.62849711627105864
MET000,1,3,4,0.75037284510309976
MET000,1,4,1,0.720228710589913
MET000,1,4,2,0.6676714288697202
MET000,1,4,3,0.71002755535868067
MET000,1,4,4,0.7397961658133333
MET000,2,1,1,0.66058220158357561
MET000,2,1,2,0.72293249018992545
MET000,2,1,3,0.93179683920031764
MET000,2,1,4,0.79058153092436612
MET000,2,2,1,0.63158835645023725
MET000,2,2,2,0.74156510788051255
MET000,2,2,3,0.69818565993571602
MET000,2,2,4,0.82471811206912093
MET000,2,3,1,0.60903502767136874
MET000,2,3,2,0.62978059280388676
MET000,2,3,3,0.71018316149269844
MET000,2,3,4,0.77269190900818885
MET000,2,4,1,0.72033152694089231
MET000,2,4,2,0.80161136324684767
MET000,2,4,3,0.73800819011539143
MET000,2,4,4,0.70030043473252401
MET001,1,1,1,0.6964879286773572
MET001,1,1,2,0.74833228602802415
MET001,1,1,3,0.57604970538843692
MET001,1,1,4,0.83041887566006345
MET001,1,2,1,0.66873980570270963
MET001,1,2,2,0.74679244130598055
MET001,1,2,3,0.55361942603668568
MET001,1,2,4,0.83507416957902125
MET001,1,3,1,0.67795667693686346
MET001,1,3,2,0.79007479267037761
MET001,1,3,3,0.69956114255167645
MET001,1,3,4,0.71797366683096298
MET001,1,4,1,0.65434936131453714
MET001,1,4,2,0.73187333166818525
MET001,1,4,3,0.72071848664924631
MET001,1,4,4,0.66858172814223304
MET002,1,1,1,0.70137467760391337
MET002,1,1,2,0.92838130074623137
MET002,1,1,3,0.97066105988230356
MET002,1,1,4,1.2166734589467103
MET002,1,2,1,0.85120727468887725
MET002,1,2,2,0.98759181218841297
MET002,1,2,3,0.92946905466629803
MET002,1,2,4,1.0283205095724648
MET002,1,3,1,0.89208828315021926
MET002,1,3,2,0.91288746047438818
MET002,1,3,3,0.72078809006870193
MET002,1,3,4,0.79048653028147375
MET002,1,4,1,0.90819098145527244
MET002,1,4,2,0.77367676258339957
MET002,1,4,3,1.0639576019679615
MET002,1,4,4,0.90739216909820963
MET002,2,1,1,0.83106465661090867
MET002,2,1,2,0.7402796369695992
MET002,2,1,3,0.84832483067829934
MET002,2,1,4,0.93982384893115956
MET002,2,2,1,0.80344716225960633
MET002,2,2,2,0.8450450079221089
MET002,2,2,3,0.88221677408935262
MET002,2,2,4,0.76667485421384596
MET002,2,3,1,0.95246333213758705
MET002,2,3,2,1.0664148479835331
MET002,2,3,3,0.95444464709739096
MET002,2,3,4,1.108078396568221
MET002,2,4,1,0.84267757162410761
MET002,2,4,2,0.85074622552351575
MET002,2,4,3,1.0119020911418672
MET002,2,4,4,0.94409593736968955
MET003,1,1,1,0.68162150875940997
MET003,1,1,2,0.77462815530533125
MET003,1,1,3,0.64041195504049131
MET003,1,1,4,0.66119322123182167
MET003,1,2,1,0.62406301845862722
MET003,1,2,2,0.78758777570542104
MET003,1,2,3,0.69673188139210773
MET003,1,2,4,0.86372585860797424
MET003,1,3,1,0.75591060123153175
MET003,1,3,2,0.8013112993238517
MET003,1,3,3,0.87745997503083584
MET003,1,3,4,0.84147350392266007
MET003,1,4,1,0.76075095031885942
MET003,1,4,2,0.81627875887160573
MET003,1,4,3,0.77601030607280508
MET003,1,4,4,0.87029589227443105
MET003,2,1,1,0.79937126319785134
MET003,2,1,2,0.70641535676575606
MET003,2,1,3,0.7440967136507548
MET003,2,1,4,0.70268248593147598
MET003,2,2,1,0.68288056898092697
MET003,2,2,2,0.83878652595350556
MET003,2,2,3,0.81794570116212484
MET003,2,2,4,0.76085220273349397
MET003,2,3,1,0.74389652133533757
MET003,2,3,2,0.65046922315670941
MET003,2,3,3,0.70401591712283607
MET003,2,3,4,0.97076125714035599
MET003,2,4,1,0.73325489363817398
MET003,2,4,2,0.69295446220534962
MET003,2,4,3,0.87761794079294198
MET003,2,4,4,0.98773418227763743
MET004,1,1,1,0.66307589046566595
MET004,1,1,2,0.64515116755375734
MET004,1,1,3,0.58773188333281945
MET004,1,1,4,0.79319941255333715
MET004,1,2,1,0.72843171637870963
MET004,1,2,2,0.76248225868329023
MET004,1,2,3,0.68721203520337937
MET004,1,2,4,0.87878091975215211
MET004,1,3,1,0.62684964493172213
MET004,1,3,2,0.85397619082936205
MET004,1,3,3,0.74064995444174342
MET004,1,3,4,0.74269581554645125
MET004,1,4,1,0.76237039901180448
MET004,1,4,2,0.70331912179841072
MET004,1,4,3,0.72890806080397674
MET004,1,4,4,0.75033006731915552
MET004,2,1,1,0.61766131754731257
MET004,2,1,2,0.79777649300142806
MET004,2,1,3,0.73170033164464832
MET004,2,1,4,0.6829222240905275
MET004,2,2,1,0.78166720178385984
MET004,2,2,2,0.76453721814993114
MET004,2,2,3,0.76348522210010472
MET004,2,2,4,0.73143145684965083
MET004,2,3,1,0.66639395729078632
MET004,2,3,2,0.85886333564093253
MET004,2,3,3,0.69040108553489765
MET004,2,3,4,0.76356119890544383
MET004,2,4,1,0.75623860672351084
MET004,2,4,2,0.66055898851683925
MET004,2,4,3,0.70940611292392253
MET004,2,4,4,0.67984863600201861
MET005,1,1,1,0.8048447508973956
MET005,1,1,2,0.65095645895145393
MET005,1,1,3,0.79820236926914856
