sub_id,session,run,red_idx,green_idx,value
MET000,1,1,0,0,1.3033909341254959
MET000,1,1,0,1,1.3942801058821526
MET000,1,1,0,2,1.3171244940087059
MET000,1,1,0,3,1.0088984511057488
MET000,1,1,0,4,1.315145340115375
MET000,1,1,0,5,1.279491569094076
MET000,1,1,0,6,1.4021766494178078
MET000,1,1,0,7,1.3679899644110072
MET000,1,1,0,8,1.4999902884983716
MET000,1,1,0,9,1.299208907320593
MET000,1,1,1,0,1.6953823473907077
MET000,1,1,1,1,1.3448312859611466
MET000,1,1,1,2,1.3241326768788222
MET000,1,1,1,3,1.2734017937839452
MET000,1,1,1,4,1.527985488860385
MET000,1,1,1,5,1.1712403532892586
MET000,1,1,1,6,1.2761185236272237
MET000,1,1,1,7,1.1837775909462531
MET000,1,1,1,8,1.5047014793292617
MET000,1,1,1,9,1.4408964580593819
MET000,1,1,2,0,1.6359512628119433
MET000,1,1,2,1,1.1031973018723651
MET000,1,1,2,2,1.3057523838960241
MET000,1,1,2,3,1.0502282175230442
MET000,1,1,2,4,1.0077149148229698
MET000,1,1,2,5,1.1492126878767952
MET000,1,1,2,6,1.1780586437471496
MET000,1,1,2,7,1.333650454114915
MET000,1,1,2,8,1.2853097982748358
MET000,1,1,2,9,1.2713324692218551
MET000,1,1,3,0,1.4273560379152876
MET000,1,1,3,1,1.5628592956194505
MET000,1,1,3,2,1.3665802976491579
MET000,1,1,3,3,1.1529212827781734
MET000,1,1,3,4,0.75639217222233857
MET000,1,1,3,5,0.86115348530660063
MET000,1,1,3,6,1.0053328388281044
MET000,1,1,3,7,1.230190191326056
MET000,1,1,3,8,1.3023630941883331
MET000,1,1,3,9,1.4350172418257756
MET000,1,1,4,0,1.7908250128706089
MET000,1,1,4,1,1.6705272611455806
MET000,1,1,4,2,1.1774565693453118
MET000,1,1,4,3,1.1155227933528646
MET000,1,1,4,4,0.96687168784027877
MET000,1,1,4,5,0.89748071254749462
MET000,1,1,4,6,0.78098210240669719
MET000,1,1,4,7,1.1479464907518275
MET000,1,1,4,8,1.2830856794309011
MET000,1,1,4,9,1.2658972640125976
MET000,1,1,5,0,1.6525169860266042
MET000,1,1,5,1,1.7157262391419283
MET000,1,1,5,2,1.4775715533603886
MET000,1,1,5,3,1.3574471156112042
MET000,1,1,5,4,1.0781245084718278
MET000,1,1,5,5,1.1859171829170527
MET000,1,1,5,6,0.97823653349917539
MET000,1,1,5,7,1.0357251038351625
MET000,1,1,5,8,1.1184414399609874
MET000,1,1,5,9,1.1272017079012897
MET000,1,1,6,0,1.7740550538978299
MET000,1,1,6,1,1.3752853867411894
MET000,1,1,6,2,1.4960370096690476
MET000,1,1,6,3,1.3162677861486931
MET000,1,1,6,4,1.5175524640416129
MET000,1,1,6,5,1.327384922221662
MET000,1,1,6,6,1.0007180725112397
MET000,1,1,6,7,1.1757290403174434
MET000,1,1,6,8,1.0568422734781833
MET000,1,1,6,9,0.85287566661971048
MET000,1,1,7,0,1.7772038983219709
MET000,1,1,7,1,1.5370558110114076
MET000,1,1,7,2,1.5141915917861799
MET000,1,1,7,3,1.5694238504972626
MET000,1,1,7,4,1.3218744506750206
MET000,1,1,7,5,1.6600942065843811
MET000,1,1,7,6,1.1774671392303011
MET000,1,1,7,7,1.1908682984871266
MET000,1,1,7,8,1.1597342068669605
MET000,1,1,7,9,1.1807046235373009
MET000,1,1,8,0,1.7283887706933443
MET000,1,1,8,1,1.817796859687792
MET000,1,1,8,2,1.6796648542687893
MET000,1,1,8,3,1.2385761848156154
MET000,1,1,8,4,1.7105511845708246
MET000,1,1,8,5,0.90889573089203524
MET000,1,1,8,6,1.5245552843449972
MET000,1,1,8,7,1.3750825076433435
MET000,1,1,8,8,1.2542137120180019
MET000,1,1,8,9,0.97321748672411557
MET000,1,1,9,0,1.6096077708867209
MET000,1,1,9,1,1.7596196457775399
MET000,1,1,9,2,1.6104639050187075
MET000,1,1,9,3,1.5166561975318966
MET000,1,1,9,4,1.2484127569859795
MET000,1,1,9,5,1.5702895014553409
MET000,1,1,9,6,1.4128292950826906
MET000,1,1,9,7,1.4487582131743515
MET000,1,1,9,8,1.2590471250098405
MET000,1,1,9,9,1.1054620499795085
MET000,1,2,0,0,0.86890625165069424
MET000,1,2,0,1,0.89125533067114571
MET000,1,2,0,2,1.2387537296152151
MET000,1,2,0,3,1.2440350897600569
MET000,1,2,0,4,1.0150246921088797
MET000,1,2,0,5,1.3670732356988704
MET000,1,2,0,6,1.2967790664198673
MET000,1,2,0,7,1.2458072170104115
MET000,1,2,0,8,1.3796536940897399
MET000,1,2,0,9,1.4398131366964917
MET000,1,2,1,0,1.1608428897705676
MET000,1,2,1,1,1.4056051868315551
MET000,1,2,1,2,1.026757016152219
MET000,1,2,1,3,0.94219036324385164
MET000,1,2,1,4,1.2314925855284218
MET000,1,2,1,5,0.99787614207188036
MET000,1,2,1,6,1.2426186546456659
MET000,1,2,1,7,1.1331788799539722
MET000,1,2,1,8,1.2015901110408309
MET000,1,2,1,9,1.242846120528921
MET000,1,2,2,0,1.3462414775581033
MET000,1,2,2,1,1.0245709625009252
MET000,1,2,2,2,1.1990480043539622
MET000,1,2,2,3,1.0307877440200917
MET000,1,2,2,4,0.92320672241936363
MET000,1,2,2,5,1.0040320265366729
MET000,1,2,2,6,0.84765417526990083
MET000,1,2,2,7,1.1742248083669029
MET000,1,2,2,8,1.4375762711517068
MET000,1,2,2,9,1.4042052095832007
MET000,1,2,3,0,0.97431451776077038
MET000,1,2,3,1,0.939429004574306
MET000,1,2,3,2,0.95835456367209304
MET000,1,2,3,3,1.1270637996701469
MET000,1,2,3,4,0.93906120658243997
MET000,1,2,3,5,0.80361153506660254
MET000,1,2,3,6,0.89208791724488001
MET000,1,2,3,7,1.2771881171427251
MET000,1,2,3,8,1.3908347392101119
MET000,1,2,3,9,1.3605422333183088
MET000,1,2,4,0,1.3506085168824171
MET000,1,2,4,1,0.99768129247127635
MET000,1,2,4,2,0.86922350613754451
MET000,1,2,4,3,1.1360265735578288
MET000,1,2,4,4,0.88570569393987919
MET000,1,2,4,5,0.88604406316555651
MET000,1,2,4,6,0.7586653931709586
MET000,1,2,4,7,0.98418995154549682
MET000,1,2,4,8,1.408126668348203
